Date,Open,High,Low,Close,Adj Close,Volume
2010-04-28,16677.511719,16715.673828,16563.019531,16601.183594,16601.183594,292393
2010-04-29,16486.693359,16524.855469,16410.365234,16410.365234,16410.365234,439287
2010-04-30,null,null,null,null,null,null
2010-05-03,null,null,null,null,null,null
2010-05-04,16410.365234,17135.474609,16410.365234,16868.330078,16868.330078,867469
2010-05-05,16792.001953,16792.001953,16524.855469,16524.855469,16524.855469,269754
2010-05-06,16410.365234,16524.855469,16372.202148,16372.202148,16372.202148,548894
2010-05-07,16219.546875,16295.874023,16105.056641,16219.546875,16219.546875,747904
2010-05-10,16143.219727,16257.710938,15914.238281,16219.546875,16219.546875,1161598
2010-05-11,16410.365234,16410.365234,16105.056641,16219.546875,16219.546875,685540
2010-05-12,16028.729492,16143.219727,15837.911133,15837.911133,15837.911133,1130391
2010-05-13,16181.383789,16181.383789,15837.911133,15914.238281,15914.238281,849075
2010-05-14,16066.892578,16066.892578,15914.238281,15914.238281,15914.238281,594986
2010-05-17,15990.565430,15990.565430,15647.092773,15799.747070,15799.747070,910600
2010-05-18,15494.438477,15799.747070,15494.438477,15799.747070,15799.747070,541190
2010-05-19,15532.601563,15685.255859,15494.438477,15494.438477,15494.438477,1126199
2010-05-20,15265.456055,15570.765625,15265.456055,15570.765625,15570.765625,1162202
2010-05-21,14960.147461,15227.292969,14921.983398,14921.983398,14921.983398,1529906
2010-05-24,14921.983398,15265.456055,14921.983398,15265.456055,15265.456055,737423
2010-05-25,15265.456055,15341.783203,15227.292969,15341.783203,15341.783203,992459
2010-05-26,15303.620117,15379.947266,15265.456055,15265.456055,15265.456055,811632
2010-05-27,15265.456055,15303.620117,15227.292969,15303.620117,15303.620117,603133
2010-05-28,15456.274414,15647.092773,15303.620117,15647.092773,15647.092773,610287
2010-05-31,15647.092773,15647.092773,15532.601563,15570.765625,15570.765625,695630
2010-06-01,15494.438477,15647.092773,15456.274414,15647.092773,15647.092773,489753
2010-06-02,15608.928711,15685.255859,15570.765625,15647.092773,15647.092773,977628
2010-06-03,15647.092773,15723.419922,15647.092773,15647.092773,15647.092773,1000922
2010-06-04,14807.492188,14883.819336,14769.329102,14807.492188,14807.492188,889742
2010-06-07,14425.856445,14693.001953,14425.856445,14464.019531,14464.019531,665969
2010-06-08,14464.019531,14502.183594,14425.856445,14425.856445,14425.856445,705692
2010-06-09,14349.529297,14464.019531,14349.529297,14387.692383,14387.692383,564197
2010-06-10,14387.692383,14464.019531,14349.529297,14425.856445,14425.856445,501519
2010-06-11,14654.837891,14654.837891,14502.183594,14578.510742,14578.510742,368304
2010-06-14,14578.510742,14616.674805,14540.346680,14540.346680,14540.346680,207757
2010-06-15,14654.837891,14769.329102,14578.510742,14769.329102,14769.329102,639187
2010-06-16,14921.983398,15074.637695,14883.819336,15074.637695,15074.637695,544964
2010-06-17,15074.637695,15418.110352,14998.310547,15418.110352,15418.110352,1138644
2010-06-18,15265.456055,15608.928711,15265.456055,15265.456055,15265.456055,1767646
2010-06-21,15418.110352,15418.110352,15227.292969,15303.620117,15303.620117,312412
2010-06-22,14998.310547,15379.947266,14998.310547,15341.783203,15341.783203,429824
2010-06-23,14960.147461,15379.947266,14960.147461,15265.456055,15265.456055,272246
2010-06-24,15303.620117,15341.783203,15265.456055,15265.456055,15265.456055,400060
2010-06-25,15150.964844,15189.128906,14693.001953,14693.001953,14693.001953,336231
2010-06-28,14693.001953,15074.637695,14693.001953,15074.637695,15074.637695,133549
2010-06-29,15074.637695,15799.747070,15074.637695,15799.747070,15799.747070,1070332
